epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8104.56,1.25302,0.6785,0.9844,0.94952,0.89854,0.94548,0.6283,1.11395,0.57986,0.96017,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8352.1,1.25114,0.67071,0.98501,0.95768,0.90153,0.94961,0.63487,1.09154,0.57265,0.95397,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8602.62,1.24357,0.6652,0.97933,0.95317,0.89401,0.94734,0.63707,1.09695,0.57248,0.95623,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8853.76,1.22729,0.66031,0.97711,0.95106,0.90262,0.94707,0.634,1.10637,0.57414,0.95256,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9104.69,1.22974,0.65554,0.97344,0.95369,0.90024,0.94763,0.63089,1.11232,0.5676,0.95242,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9352.18,1.22184,0.65279,0.96979,0.95757,0.89914,0.94776,0.63628,1.08954,0.56067,0.94849,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9601.61,1.2106,0.64039,0.97234,0.94666,0.90535,0.94719,0.64068,1.08503,0.54865,0.94675,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9853.1,1.20853,0.64357,0.96864,0.95319,0.90262,0.94773,0.6328,1.10387,0.56044,0.95266,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,10104.1,1.21413,0.63944,0.96648,0.95315,0.91079,0.95283,0.64731,1.06674,0.54212,0.94256,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10355.8,1.19451,0.62984,0.96503,0.95428,0.91113,0.95284,0.64258,1.07647,0.53901,0.94338,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10604.6,1.20051,0.63089,0.96306,0.95616,0.90598,0.95129,0.6399,1.07815,0.53745,0.94538,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10853.5,1.1879,0.62503,0.96098,0.95487,0.91482,0.95381,0.64768,1.06878,0.53564,0.94211,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11103.9,1.18802,0.62304,0.96163,0.94721,0.91352,0.95064,0.64164,1.0887,0.53898,0.94677,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,11353.6,1.18084,0.6189,0.95882,0.95509,0.91236,0.95524,0.64609,1.07582,0.52566,0.94152,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,11601.3,1.1853,0.61251,0.95738,0.95284,0.91496,0.956,0.64515,1.07476,0.5269,0.94509,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11851.4,1.16307,0.60674,0.95303,0.95967,0.90807,0.95468,0.64357,1.07541,0.52786,0.94098,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,12101.4,1.1582,0.60307,0.95009,0.95889,0.91386,0.95794,0.6587,1.04089,0.51442,0.93504,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,12352,1.16455,0.60237,0.95368,0.95326,0.91672,0.95217,0.65046,1.06373,0.52433,0.94086,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,12600.4,1.15913,0.60086,0.95128,0.9587,0.91181,0.95689,0.6491,1.06025,0.51567,0.93805,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12849,1.16146,0.60257,0.94623,0.95247,0.92373,0.95788,0.65441,1.04827,0.5136,0.93272,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,13098.7,1.14064,0.59293,0.94339,0.95971,0.91692,0.95855,0.65864,1.0511,0.50995,0.93559,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,13347.8,1.13473,0.57842,0.94374,0.96293,0.91828,0.95802,0.65807,1.04452,0.50224,0.93366,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,13599.3,1.13785,0.57932,0.94145,0.95827,0.92254,0.96129,0.65959,1.04732,0.50088,0.93276,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,13850.2,1.13475,0.58027,0.94296,0.96444,0.91415,0.95814,0.66332,1.03109,0.49955,0.92923,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,14392.6,1.12805,0.57532,0.94201,0.96523,0.92033,0.95582,0.66086,1.02854,0.4977,0.92672,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,15013.1,1.1138,0.57173,0.93869,0.95736,0.92339,0.9617,0.66798,1.01607,0.49104,0.92468,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,15349.4,1.1145,0.56571,0.93841,0.96357,0.91856,0.95864,0.66395,1.02089,0.48694,0.92352,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
