epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13424.4,2.02271,1.23011,1.2657,0.51757,0.50307,0.52761,0.20435,1.98507,1.12016,1.19967,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13838.4,2.01664,1.2039,1.25674,0.59346,0.52888,0.53626,0.19659,1.96468,1.08035,1.18731,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14250.6,2.02173,1.21061,1.24756,0.57797,0.52495,0.52718,0.2005,1.96904,1.08668,1.19253,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,14665.8,2.00596,1.18109,1.25008,0.67206,0.48217,0.55524,0.21742,1.951,1.07729,1.19129,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,15078.2,2.00199,1.19188,1.2439,0.52643,0.49793,0.51343,0.21058,1.93914,1.08102,1.17951,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,15492.5,1.98663,1.17269,1.23251,0.53766,0.55477,0.52498,0.2148,1.94389,1.0532,1.17718,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,15906.3,1.99795,1.16211,1.23509,0.54918,0.53192,0.54842,0.21908,1.93356,1.04492,1.17615,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,16317.2,1.99245,1.16924,1.2349,0.6329,0.57899,0.59998,0.23319,1.93699,1.0408,1.17278,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,16730.5,1.97826,1.16417,1.23227,0.60389,0.59949,0.54896,0.21865,1.94995,1.04745,1.17515,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,17144,1.97266,1.14403,1.22973,0.56694,0.54255,0.55342,0.22195,1.93251,1.02827,1.17813,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,17558.1,1.95867,1.12474,1.2361,0.58942,0.63442,0.56175,0.22248,1.93409,1.02435,1.17621,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,17970.3,1.94477,1.12699,1.21239,0.62888,0.60183,0.52693,0.21063,1.9305,1.02717,1.16793,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,18384.7,1.93523,1.11029,1.21386,0.68723,0.59033,0.61558,0.23049,1.92327,0.99824,1.16923,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,18798.1,1.92942,1.09526,1.20454,0.6975,0.56025,0.59163,0.23001,1.92298,1.00266,1.16888,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,19212.6,1.94189,1.1106,1.20723,0.58781,0.57044,0.60902,0.24622,1.90383,0.98884,1.15971,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,19626.3,1.92973,1.10702,1.19402,0.62781,0.52542,0.57225,0.23203,1.89253,0.98531,1.15918,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,20040.7,1.9176,1.08307,1.19993,0.63835,0.59762,0.58071,0.22944,1.90343,0.97787,1.15963,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,20456.3,1.91066,1.08307,1.20085,0.61346,0.61063,0.58886,0.23193,1.90008,0.97777,1.15836,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,20870.3,1.90954,1.06732,1.20041,0.71177,0.58334,0.61999,0.23024,1.89478,0.97483,1.1593,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,21282.7,1.88531,1.04993,1.18796,0.75749,0.5787,0.6093,0.23448,1.90391,0.96793,1.16667,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,21695.4,1.89435,1.06389,1.19517,0.72436,0.58141,0.62391,0.2445,1.89018,0.96512,1.1617,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,22109.9,1.90727,1.05316,1.19361,0.6335,0.64864,0.62056,0.2538,1.89175,0.96443,1.15949,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,22528.2,1.88236,1.04233,1.18035,0.7064,0.58413,0.62098,0.25875,1.89415,0.95264,1.1596,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,22944,1.88497,1.03987,1.18949,0.71991,0.64018,0.60845,0.23985,1.89188,0.95235,1.15932,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,23358.2,1.87012,1.03066,1.18167,0.69174,0.67712,0.64088,0.25372,1.88576,0.94933,1.15722,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,23773,1.85161,1.01579,1.17765,0.69326,0.66251,0.66705,0.26041,1.88188,0.94672,1.15457,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,24187.5,1.86746,1.02817,1.17387,0.69016,0.6203,0.61242,0.24948,1.88863,0.94486,1.15436,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,24602.1,1.86442,1.01731,1.17452,0.68902,0.60082,0.59835,0.25263,1.87837,0.93577,1.15393,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
