epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,22138.2,1.18335,0.77017,1.12257,0.87851,0.7664,0.81605,0.4911,1.19148,0.87721,1.11663,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,22819.7,1.17705,0.75886,1.11609,0.88051,0.76896,0.81365,0.49131,1.19508,0.90518,1.11564,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,23512.6,1.17662,0.76325,1.11622,0.88403,0.76731,0.81796,0.49261,1.19634,0.90806,1.11828,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,24211.9,1.17862,0.76271,1.11673,0.87721,0.77399,0.8179,0.4958,1.18803,0.90863,1.11296,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,24899.8,1.16494,0.74924,1.11226,0.88381,0.77534,0.81836,0.49537,1.18608,0.89292,1.11523,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,25580.4,1.15762,0.7509,1.10873,0.88768,0.77486,0.82094,0.49674,1.17582,0.88961,1.10719,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,26272.3,1.15671,0.74458,1.10257,0.88159,0.77926,0.82191,0.49732,1.17234,0.89326,1.10356,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,26967,1.15605,0.73461,1.10456,0.88526,0.77683,0.82267,0.49736,1.17459,0.89888,1.10481,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,27661.9,1.15696,0.73339,1.10417,0.88565,0.77744,0.82259,0.49911,1.16847,0.8946,1.09939,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,28358.1,1.15381,0.73564,1.10055,0.88833,0.77563,0.82205,0.49932,1.16424,0.89169,1.09764,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,29057.1,1.15251,0.73287,1.10274,0.88557,0.78019,0.82489,0.49988,1.16462,0.87257,1.09727,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,29752.6,1.14443,0.72408,1.09737,0.88679,0.77942,0.82546,0.50002,1.16959,0.87635,1.0994,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,30453.4,1.13902,0.71691,1.09542,0.88639,0.78186,0.82586,0.49972,1.1695,0.87552,1.09974,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,31151.5,1.14163,0.72164,1.0971,0.88798,0.78528,0.82763,0.50155,1.1675,0.86702,1.09801,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,31853.7,1.13512,0.71688,1.09851,0.89126,0.7839,0.82842,0.503,1.16621,0.8686,1.09606,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,32554.3,1.14151,0.71573,1.09608,0.89128,0.7846,0.82807,0.50367,1.16409,0.86222,1.09418,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,33251.5,1.13365,0.71606,1.09239,0.89054,0.78591,0.82809,0.50403,1.1629,0.85545,1.09309,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,33951.1,1.13635,0.71445,1.09457,0.89113,0.78604,0.82908,0.50422,1.16213,0.84568,1.09338,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,34651.6,1.12473,0.69849,1.08756,0.89148,0.78561,0.82912,0.50438,1.16287,0.83908,1.09372,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,35358.2,1.12639,0.70039,1.09158,0.89024,0.78816,0.83079,0.50478,1.16176,0.83646,1.094,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,36053.1,1.13426,0.7026,1.08859,0.88739,0.78979,0.82992,0.50463,1.15974,0.83715,1.09357,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,36750.1,1.13014,0.70381,1.08507,0.88607,0.78749,0.82993,0.50445,1.1579,0.83671,1.09258,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,37448.4,1.11441,0.69007,1.0825,0.88627,0.78552,0.82975,0.50552,1.15719,0.83835,1.092,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,38152.1,1.12254,0.68953,1.08904,0.89174,0.78107,0.8284,0.50639,1.15564,0.84035,1.09129,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,38853.7,1.1208,0.68842,1.08385,0.8921,0.78326,0.82959,0.50665,1.15513,0.84102,1.09062,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,39561.4,1.11914,0.6845,1.08426,0.89276,0.78172,0.829,0.50706,1.15454,0.84144,1.0897,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,40263.1,1.11174,0.67825,1.07774,0.89235,0.78349,0.83025,0.50719,1.1546,0.84285,1.08944,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,40961.6,1.10116,0.67167,1.07596,0.89217,0.78438,0.83075,0.50754,1.15441,0.84422,1.08939,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,41659.4,1.10522,0.67522,1.07726,0.89074,0.78402,0.83055,0.50818,1.15406,0.84312,1.08866,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,42362.4,1.10937,0.67481,1.07514,0.8865,0.78523,0.83054,0.50778,1.15387,0.84182,1.08833,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,43064.9,1.10719,0.67587,1.07347,0.88891,0.78449,0.83049,0.50766,1.15429,0.84161,1.08793,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,43765.7,1.09797,0.66858,1.07177,0.8902,0.78537,0.83115,0.5089,1.15403,0.83964,1.08771,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,44465.1,1.09797,0.66766,1.06945,0.89196,0.78467,0.8311,0.50906,1.15453,0.83913,1.0878,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,45166.3,1.08844,0.66018,1.06788,0.89098,0.78536,0.83083,0.50858,1.15421,0.83918,1.08758,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,45863.1,1.08936,0.65709,1.06546,0.88987,0.78505,0.83076,0.50864,1.154,0.8401,1.08728,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,46568.2,1.09682,0.65889,1.06843,0.89193,0.78486,0.8311,0.50854,1.15371,0.84,1.08698,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,47267.4,1.08978,0.65578,1.06561,0.89294,0.7848,0.83179,0.50853,1.15305,0.83921,1.08681,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
